eagle,eagle_s,sparrow,sparrow_s
1.987419123,1.834,152.9618979,158.32
10.56739066,10.24,140.1993454,148.892
24.2111437,27.061,135.9768062,139.31
27.45148473,31.513,112.9416562,115.21
29.66095133,31.96,103.9465339,106.73
