eagle,eagle_s,sparrow,sparrow_s
1.049734895,1.041,0.87157016,0.8932
1.013252024,1.008,0.846147089,0.8762
1.00816232,1.016,0.845189493,0.8654
0.958796074,0.9809,0.824137772,0.8432
0.975249862,0.9904,0.838582437,0.8532
