eagle,eagle_s,sparrow,sparrow_s
0.999803023,1.016,0.903974116,0.9045
1.002903462,1.011,0.915528843,0.9321
1.028807397,1.023,0.896572099,0.9132
0.997296749,0.9901,0.902518525,0.9231
1.003775479,0.9979,0.889079581,0.9081
