eagle,eagle_s,sparrow,sparrow_s
0.995235434,1.016,0.86558603,0.8732
0.996964181,1.006,0.876229775,0.8931
0.973882825,0.9895,0.863953966,0.8762
0.954892246,0.9718,0.844036103,0.8532
0.963646982,0.9814,0.847045444,0.8651
