eagle,eagle_s,sparrow,sparrow_s
2.252901354,2.507,62.28820116,66.32
7.071209738,7.203,46.68386189,49.98
9.058194498,9.714,46.21146842,48.56
7.57635142,8.438,31.48045404,33.312
6.535925699,7.218,23.9233225,25.32
